employee_id,department_key,salary_key,tenure_bucket_key,performance_cluster_key,exit_archetype_key,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,workload_intensity_idx,is_overworked,is_underutilized,hours_per_project,eval_satisfaction_gap,is_unhappy_star,is_comfortable_underperformer,is_critical_tenure_window,stagnation_flag,risk_score_raw,low_exit_barrier_flag,satisfaction_x_evaluation,is_project_extreme,is_hours_ceiling,churn_probability,risk_band,is_flight_risk,is_high_performer,risk_quadrant,behavior_cluster,shap_main_driver_feature,shap_main_driver_value,shap_driver_direction,simulated_monthly_salary_eur,simulated_annual_salary_eur,simulated_replacement_cost_pct,simulated_replacement_cost_eur,simulated_retention_action_cost_eur
1,8,1,2,3,2,0.38,0.53,2,157,3,0,1,0,0.3960829493087557,0,0,78.5,0.15,0,0,0,0,0.3668248847926267,0,0.2014,1,0,0.9967626333236694,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Standard / Balanced,is_project_extreme,2.3484764099121094,Increases exit risk,2797.66,33571.9,0.55,18464.55,4028.63
2,8,2,3,3,3,0.8,0.86,5,262,6,0,1,0,0.7797235023041476,0,0,52.4,0.0599999999999999,0,0,1,1,0.6139170506912442,0,0.6880000000000001,0,0,0.9734649062156676,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,1.4992291927337646,Increases exit risk,3982.3,47787.65,1.15,54955.8,5734.52
3,8,2,3,2,1,0.11,0.88,7,272,4,0,1,0,0.9387096774193548,1,0,38.85714285714285,0.77,1,0,1,1,0.9376129032258064,0,0.0968,1,0,0.9995356798171996,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.160591125488281,Increases exit risk,4294.36,51532.37,1.15,59262.23,6183.88
4,8,1,3,3,3,0.72,0.87,5,223,5,0,1,0,0.7168202764976959,0,0,44.6,0.15,0,0,1,1,0.6270460829493087,1,0.6264,0,0,0.9613645076751708,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,1.478206992149353,Increases exit risk,3001.61,36019.32,0.75,27014.49,4322.32
5,8,1,2,3,2,0.37,0.52,2,159,3,0,1,0,0.3993087557603686,0,0,79.5,0.15,0,0,0,0,0.3717926267281106,0,0.1924,1,0,0.993754744529724,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Standard / Balanced,is_project_extreme,2.0795857906341557,Increases exit risk,2425.81,29109.69,0.55,16010.33,3493.16
6,8,1,2,3,2,0.41,0.5,2,153,3,0,1,0,0.3896313364055299,0,0,76.5,0.09,0,0,0,0,0.352889400921659,0,0.205,1,0,0.997643768787384,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Standard / Balanced,is_project_extreme,2.0664353370666504,Increases exit risk,2532.77,30393.22,0.55,16716.27,3647.19
7,8,1,3,5,1,0.1,0.77,6,247,4,0,1,0,0.8269585253456221,0,0,41.16666666666666,0.67,1,0,1,1,0.9080875576036866,1,0.077,1,0,0.9986761212348938,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Unhappy Star,satisfaction_level,4.425149917602539,Increases exit risk,2815.78,33789.37,0.75,25342.03,4054.72
8,8,1,3,3,3,0.92,0.85,5,259,5,0,1,0,0.7748847926267282,0,0,51.8,-0.07,0,0,1,1,0.5644654377880184,0,0.782,0,0,0.9913201928138732,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,time_spend_company,1.606725811958313,Increases exit risk,2787.36,33448.26,0.75,25086.2,4013.79
9,8,1,3,3,3,0.89,1.0,5,224,5,0,1,0,0.7184331797235023,0,0,44.8,0.1099999999999999,0,0,1,1,0.5595299539170507,0,0.89,0,0,0.9957118034362792,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,time_spend_company,1.5306984186172483,Increases exit risk,2838.4,34060.83,0.75,25545.62,4087.3
10,8,1,2,4,2,0.42,0.53,2,142,3,0,1,0,0.371889400921659,0,1,71.0,0.11,0,0,0,0,0.3435668202764977,0,0.2226,1,0,0.9959992170333862,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.078360319137573,Increases exit risk,2606.81,31281.67,0.55,17204.92,3753.8
11,8,1,2,4,2,0.45,0.54,2,135,3,0,1,0,0.3605990783410138,0,1,67.5,0.09,0,0,0,0,0.3281797235023042,0,0.243,1,0,0.9969224333763124,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.0990991592407227,Increases exit risk,2892.39,34708.7,0.55,19089.78,4165.04
12,8,1,3,2,1,0.11,0.81,6,305,4,0,1,0,0.9205069124423964,1,0,50.833333333333336,0.7000000000000001,1,0,1,1,0.9321520737327188,1,0.0891,1,1,0.9997722506523132,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.034562110900879,Increases exit risk,2924.75,35097.02,0.75,26322.76,4211.64
13,8,1,3,3,3,0.84,0.92,4,234,5,0,1,0,0.6631336405529954,0,0,58.5,0.08,0,0,1,1,0.5629400921658987,0,0.7728,0,0,0.9826315641403198,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,time_spend_company,1.4801734685897827,Increases exit risk,2852.52,34230.28,0.75,25672.71,4107.63
14,8,1,2,4,2,0.41,0.55,2,148,3,0,1,0,0.3815668202764977,0,1,74.0,0.14,0,0,0,0,0.3504700460829493,0,0.2255,1,0,0.9972234964370728,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.032461643218994,Increases exit risk,2933.25,35198.97,0.55,19359.43,4223.88
15,8,1,2,4,2,0.36,0.56,2,137,3,0,1,0,0.3638248847926267,0,1,68.5,0.2,0,0,0,0,0.365147465437788,0,0.2016,1,0,0.9970122575759888,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,1.9789395332336424,Increases exit risk,2824.49,33893.92,0.55,18641.66,4067.27
16,8,1,2,4,2,0.38,0.54,2,143,3,0,1,0,0.3735023041474654,0,1,71.5,0.16,0,0,0,0,0.3600506912442396,0,0.2052,1,0,0.9968900084495544,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.340914487838745,Increases exit risk,2605.78,31269.31,0.55,17198.12,3752.32
17,8,1,2,3,2,0.45,0.47,2,160,3,0,1,0,0.4009216589861751,0,0,80.0,0.0199999999999999,0,0,0,0,0.3402764976958525,0,0.2115,1,0,0.9933678507804872,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Standard / Balanced,is_project_extreme,2.1314992904663086,Increases exit risk,2808.21,33698.56,0.55,18534.21,4043.83
18,8,1,3,3,3,0.78,0.99,4,255,6,0,1,0,0.6970046082949308,0,0,63.75,0.2099999999999999,0,0,1,1,0.5971013824884792,1,0.7722,0,0,0.9860011339187622,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,1.350590705871582,Increases exit risk,2722.02,32664.25,0.75,24498.19,3919.71
19,8,1,2,3,2,0.45,0.51,2,160,3,1,1,1,0.4009216589861751,0,0,80.0,0.06,0,0,0,0,0.3402764976958525,0,0.2295,1,0,0.9882320761680604,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Standard / Balanced,is_project_extreme,2.0386669635772705,Increases exit risk,2892.24,34706.82,0.55,19088.75,4164.82
20,8,1,3,3,3,0.76,0.89,5,262,5,0,1,0,0.7797235023041476,0,0,52.4,0.13,0,0,1,1,0.6299170506912443,1,0.6764,0,0,0.9851749539375304,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,1.6555613279342651,Increases exit risk,2832.76,33993.07,0.75,25494.8,4079.17
21,8,1,3,2,1,0.11,0.83,6,282,4,0,1,0,0.883410138248848,1,0,47.0,0.72,1,0,1,1,0.9210230414746544,1,0.0912999999999999,1,1,0.9990288019180298,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,4.409634113311768,Increases exit risk,2763.35,33160.23,0.75,24870.17,3979.23
22,8,1,2,4,2,0.38,0.55,2,147,3,0,1,0,0.3799539170506912,0,1,73.5,0.17,0,0,0,0,0.3619861751152073,0,0.209,1,0,0.99650901556015,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.3396480083465576,Increases exit risk,2635.18,31622.14,0.55,17392.18,3794.66
23,8,1,3,2,1,0.09,0.95,6,304,4,0,1,0,0.9188940092165898,1,0,50.66666666666666,0.86,1,0,1,1,0.939668202764977,1,0.0854999999999999,1,1,0.999830961227417,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Overworked (Burnout),satisfaction_level,3.95948338508606,Increases exit risk,2999.32,35991.83,0.75,26993.87,4319.02
24,8,1,2,4,2,0.46,0.57,2,139,3,0,1,0,0.3670506912442396,0,1,69.5,0.1099999999999999,0,0,0,0,0.3261152073732719,0,0.2622,1,0,0.9943865537643432,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Underutilised (Idle),is_project_extreme,2.1653223037719727,Increases exit risk,2721.95,32663.44,0.55,17964.89,3919.61
25,8,1,2,3,2,0.4,0.53,2,158,3,0,1,0,0.3976958525345622,0,0,79.0,0.13,0,0,0,0,0.3593087557603686,0,0.212,1,0,0.995512068271637,Critical (75-100%),1,0,Q2 - High Risk / Standard Performer,Standard / Balanced,is_project_extreme,2.0641860961914062,Increases exit risk,2676.82,32121.82,0.55,17667.0,3854.62
26,8,1,3,3,3,0.89,0.92,5,242,5,0,1,0,0.7474654377880184,0,0,48.4,0.03,0,0,1,1,0.5682396313364055,0,0.8188000000000001,0,0,0.9913086891174316,Critical (75-100%),1,1,Q1 - Critical Risk / High Performer,Standard / Balanced,risk_score_raw,1.6115970611572266,Increases exit risk,2781.24,33374.84,0.75,25031.13,4004.98
