id_colaborador,chave_departamento,chave_faixa_salarial,chave_tempo_casa,chave_cluster_comportamental,chave_arquetipo_saida,nivel_satisfacao,ultima_avaliacao,numero_projetos,horas_mensais_medias,tempo_de_casa_anos,sofreu_acidente_trabalho,saiu_da_empresa,promovido_ultimos_5_anos,indice_intensidade_carga,flag_sobrecarregado,flag_subutilizado,horas_por_projeto,gap_avaliacao_satisfacao,flag_estrela_insatisfeita,flag_confortavel_baixo_desempenho,flag_janela_critica_carreira,flag_estagnacao_sem_promocao,score_risco_bruto,flag_baixa_barreira_saida,interacao_satisfacao_avaliacao,flag_projeto_extremo,flag_teto_horas_criticas,probabilidade_saida,faixa_de_risco,flag_risco_iminente,flag_alto_desempenho,quadrante_risco,cluster_comportamental,fator_principal_shap,valor_shap_fator_principal,direcao_fator_shap,salario_mensal_simulado_brl,salario_anual_simulado_brl,percentual_custo_reposicao_simulado,custo_reposicao_simulado_brl,custo_acao_retencao_simulado_brl
1,8,1,2,3,2,0.38,0.53,2,157,3,0,1,0,0.3960829493087557,0,0,78.5,0.15,0,0,0,0,0.3668248847926267,0,0.2014,1,0,0.9967626333236694,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Padrão / Equilibrado,Projetos em zona extrema (H7),2.3484764099121094,Aumenta risco de saída,4524.91,60317.02,0.55,33174.36,7238.04
2,8,2,3,3,3,0.8,0.86,5,262,6,0,1,0,0.7797235023041476,0,0,52.4,0.0599999999999999,0,0,1,1,0.6139170506912442,0,0.6880000000000001,0,0,0.9734649062156676,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,1.4992291927337646,Aumenta risco de saída,6440.94,85857.78,1.15,98736.45,10302.93
3,8,2,3,2,1,0.11,0.88,7,272,4,0,1,0,0.9387096774193548,1,0,38.85714285714285,0.77,1,0,1,1,0.9376129032258064,0,0.0968,1,0,0.9995356798171996,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Sobrecarregado (Burnout),Nível de satisfação,4.160591125488281,Aumenta risco de saída,6945.67,92585.75,1.15,106473.61,11110.29
4,8,1,3,3,3,0.72,0.87,5,223,5,0,1,0,0.7168202764976959,0,0,44.6,0.15,0,0,1,1,0.6270460829493087,1,0.6264,0,0,0.9613645076751708,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Score de risco composto,1.478206992149353,Aumenta risco de saída,4854.78,64714.2,0.75,48535.65,7765.7
5,8,1,2,3,2,0.37,0.52,2,159,3,0,1,0,0.3993087557603686,0,0,79.5,0.15,0,0,0,0,0.3717926267281106,0,0.1924,1,0,0.993754744529724,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Padrão / Equilibrado,Projetos em zona extrema (H7),2.079585790634156,Aumenta risco de saída,3923.48,52299.98,0.55,28764.99,6276.0
6,8,1,2,3,2,0.41,0.5,2,153,3,0,1,0,0.3896313364055299,0,0,76.5,0.09,0,0,0,0,0.352889400921659,0,0.205,1,0,0.997643768787384,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Padrão / Equilibrado,Projetos em zona extrema (H7),2.0664353370666504,Aumenta risco de saída,4096.48,54606.04,0.55,30033.32,6552.72
7,8,1,3,5,1,0.1,0.77,6,247,4,0,1,0,0.8269585253456221,0,0,41.16666666666666,0.67,1,0,1,1,0.9080875576036866,1,0.077,1,0,0.9986761212348938,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Estrela Insatisfeita,Nível de satisfação,4.425149917602539,Aumenta risco de saída,4554.22,60707.74,0.75,45530.8,7284.93
8,8,1,3,3,3,0.92,0.85,5,259,5,0,1,0,0.7748847926267282,0,0,51.8,-0.07,0,0,1,1,0.5644654377880184,0,0.782,0,0,0.9913201928138732,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Tempo de casa (anos),1.606725811958313,Aumenta risco de saída,4508.24,60094.89,0.75,45071.17,7211.39
9,8,1,3,3,3,0.89,1.0,5,224,5,0,1,0,0.7184331797235023,0,0,44.8,0.1099999999999999,0,0,1,1,0.5595299539170507,0,0.89,0,0,0.9957118034362792,Crítico (75-100%),1,1,Q1 - Risco Crítico / Alto Desempenho,Padrão / Equilibrado,Tempo de casa (anos),1.5306984186172483,Aumenta risco de saída,4590.81,61195.46,0.75,45896.6,7343.46
10,8,1,2,4,2,0.42,0.53,2,142,3,0,1,0,0.371889400921659,0,1,71.0,0.11,0,0,0,0,0.3435668202764977,0,0.2226,1,0,0.9959992170333862,Crítico (75-100%),1,0,Q2 - Risco Alto / Desempenho Regular,Subutilizado (Ocioso),Projetos em zona extrema (H7),2.078360319137573,Aumenta risco de saída,4216.23,56202.29,0.55,30911.26,6744.27
